"","sexo","region","edad","yoprcor","s31c1","zona","e6a","o15","yoprcoripc"
"166",2,7,45,245000,7,1,11,5,338349.907657338
"167",1,7,48,320000,7,1,11,5,441926.410001421
"168",1,7,52,331682.693154403,7,1,7,5,458060.44326665
"169",2,7,51,60000,7,1,7,2,82861.2018752664
"170",2,7,30,46000,7,1,9,5,63526.9214377042
"171",1,7,58,360000,7,1,7,2,497167.211251598
"172",1,7,56,4e+05,7,1,7,2,552408.012501776
"173",2,7,47,4e+05,7,1,9,2,552408.012501776
"174",1,7,29,5e+05,7,1,9,2,690510.01562722
"175",1,7,67,150000,7,1,6,2,207153.004688166
"176",1,7,43,120000,7,1,7,5,165722.403750533
"177",1,7,40,280000,7,1,9,5,386685.608751243
"178",2,7,54,5e+05,7,1,15,5,690510.01562722
"179",1,7,61,3e+05,7,1,9,4,414306.009376332
"180",2,7,26,265000,7,1,13,5,365970.308282426
"181",1,7,68,1e+05,7,1,8,2,138102.003125444
"182",2,7,34,1e+05,7,1,9,5,138102.003125444
"183",2,7,46,2e+05,7,1,9,7,276204.006250888
"184",2,7,57,241000,7,1,9,4,332825.82753232
"185",1,7,33,448210,7,1,14,5,618986.988208552
"186",2,7,25,1e+05,7,1,12,4,138102.003125444
"187",2,7,25,180000,7,1,7,2,248583.605625799
"188",1,7,54,183000,7,1,11,3,252726.665719562
"189",2,7,45,195000,7,1,9,3,269298.906094616
"190",2,7,22,250000,7,1,11,3,345255.00781361
"191",2,7,22,150000,7,1,11,3,207153.004688166
"192",2,7,45,70000,7,1,9,2,96671.4021878108
"193",1,7,52,4e+05,7,1,11,2,552408.012501776
"194",2,7,49,4e+05,7,1,15,3,552408.012501776
"195",1,7,26,250000,7,1,9,5,345255.00781361
"196",1,7,41,130000,7,1,9,5,179532.604063077
"197",2,7,30,1e+05,7,1,9,5,138102.003125444
"198",2,7,74,1e+05,1,1,6,5,138102.003125444
"199",2,7,54,350000,7,1,9,2,483357.010939054
"200",1,7,23,15000,7,1,9,2,20715.3004688166
"201",2,7,17,1e+05,7,1,9,2,138102.003125444
"202",1,7,69,110000,7,1,6,5,151912.203437988
"203",2,7,56,10000,6,1,7,2,13810.2003125444
"204",2,7,33,245000,7,1,11,5,338349.907657338
"205",1,7,35,280000,7,1,9,5,386685.608751243
"206",1,7,59,3e+05,1,1,7,2,414306.009376332
"207",1,7,28,3e+05,7,1,11,5,414306.009376332
"208",1,7,65,40000,7,1,8,2,55240.8012501776
"209",1,7,30,245000,7,1,11,5,338349.907657338
"210",1,7,22,180000,7,1,9,5,248583.605625799
"211",1,7,21,1e+05,7,1,9,2,138102.003125444
"212",2,7,65,60000,1,1,8,7,82861.2018752664
"213",1,7,42,20000,1,1,11,2,27620.4006250888
"214",1,7,25,2e+05,7,1,14,5,276204.006250888
"215",2,7,58,150000,1,1,1,2,207153.004688166
"216",1,7,26,250000,7,1,9,5,345255.00781361
"217",2,7,53,150000,7,1,9,5,207153.004688166
"218",1,7,52,3e+05,7,1,11,2,414306.009376332
"219",1,7,66,4e+05,7,1,6,2,552408.012501776
"220",1,7,30,1e+05,7,1,15,2,138102.003125444
"221",1,7,42,280000,7,1,9,5,386685.608751243
"222",2,7,42,240000,7,1,11,5,331444.807501065
"223",1,7,50,270000,7,1,9,4,372875.408438699
"224",2,7,51,5e+05,7,1,11,5,690510.01562722
"225",1,7,49,248000,7,1,9,5,342492.967751101
"226",1,7,47,250000,7,1,7,5,345255.00781361
"227",1,7,55,250000,7,1,7,4,345255.00781361
"228",1,7,54,250000,7,1,9,2,345255.00781361
"229",2,7,35,250000,7,1,14,4,345255.00781361
"230",1,7,50,1500000,7,1,9,5,2071530.04688166
"231",1,7,27,8e+05,7,1,13,5,1104816.02500355
"232",2,7,29,7e+05,7,1,15,5,966714.021878108
"233",1,7,41,180000,7,1,13,3,248583.605625799
"234",2,7,60,1e+06,7,1,13,5,1381020.03125444
"235",2,7,39,255000,7,1,13,4,352160.107969882
"236",1,7,42,5e+05,7,1,15,1,690510.01562722
"237",2,7,35,1e+05,1,1,13,2,138102.003125444
"238",1,7,37,970000,7,1,11,5,1339589.43031681
"239",2,7,42,250000,7,1,13,4,345255.00781361
"240",1,7,32,3e+05,7,1,13,5,414306.009376332
"241",1,7,70,90000,7,1,6,5,124291.8028129
"242",2,7,25,250000,7,1,14,5,345255.00781361
"243",1,7,35,290000,7,1,14,2,400495.809063787
"244",1,7,60,1600000,7,1,15,5,2209632.0500071
"245",2,7,58,1800000,7,1,15,3,2485836.05625799
"246",2,7,37,950000,7,1,15,3,1311969.02969172
"247",1,7,35,1022000,7,1,15,5,1411402.47194204
"248",1,7,51,5e+05,7,1,14,2,690510.01562722
"249",2,7,47,5e+05,7,1,11,2,690510.01562722
"250",1,7,66,120000,7,1,11,2,165722.403750533
"251",2,7,44,7e+05,7,1,15,3,966714.021878108
"252",1,7,48,8e+05,5,1,15,3,1104816.02500355
"253",2,7,25,5e+05,7,1,15,3,690510.01562722
"254",2,7,55,230000,7,1,11,7,317634.607188521
"255",2,7,55,6e+05,7,1,15,5,828612.018752664
"256",2,7,52,245000,7,1,9,5,338349.907657338
"257",1,7,49,350000,7,1,9,5,483357.010939054
"258",1,7,45,376589,7,1,9,5,520076.952550078
"259",2,7,40,225000,7,1,9,5,310729.507032249
"260",2,7,68,331682.693154403,7,1,6,7,458060.44326665
"261",2,7,52,270000,7,1,11,5,372875.408438699
"262",1,7,50,270000,5,1,7,2,372875.408438699
"263",2,7,42,1e+06,7,1,15,5,1381020.03125444
"264",2,7,55,6e+05,7,1,13,2,828612.018752664
"265",2,7,28,618000,7,1,15,5,853470.379315244
"266",2,7,46,190000,7,1,9,5,262393.805938343
"267",2,7,21,356857,7,1,12,5,492826.665293365
"268",1,7,50,5e+05,7,1,11,2,690510.01562722
"269",2,7,48,40000,7,1,9,2,55240.8012501776
"270",2,7,26,450000,7,1,15,5,621459.014064498
"271",1,7,52,450000,7,1,9,5,621459.014064498
"272",2,7,49,6e+05,7,1,9,2,828612.018752664
"273",2,7,57,65000,5,1,9,7,89766.3020315386
"274",1,7,38,1200000,7,1,15,3,1657224.03750533
"275",2,7,47,250000,7,1,13,5,345255.00781361
"276",2,7,21,120000,7,1,7,2,165722.403750533
"277",2,7,42,7e+05,7,1,15,3,966714.021878108
"278",1,7,62,1100000,7,1,15,3,1519122.03437988
"279",2,7,27,8e+05,7,1,15,3,1104816.02500355
"280",1,7,29,4e+05,7,1,11,5,552408.012501776
"281",2,7,28,116000,7,1,11,5,160198.323625515
"282",2,7,46,260000,7,1,9,4,359065.208126154
"283",2,7,63,290000,7,1,9,3,400495.809063787
"284",2,7,94,30000,7,1,9,2,41430.6009376332
"285",1,7,28,4e+05,7,1,15,5,552408.012501776
"286",2,7,52,3e+05,7,1,9,5,414306.009376332
"287",1,7,29,3e+05,7,1,15,5,414306.009376332
"288",1,7,49,3e+05,7,1,13,3,414306.009376332
"289",2,7,46,6e+05,7,1,15,5,828612.018752664
"290",1,7,46,330000,7,1,9,5,455736.610313965
"291",2,7,23,8e+05,7,1,15,3,1104816.02500355
"292",1,7,59,2300000,7,1,15,3,3176346.07188521
"293",1,7,49,550000,7,1,9,3,759561.017189942
"294",2,7,38,250000,7,1,13,3,345255.00781361
"295",1,7,39,6e+05,7,1,14,3,828612.018752664
"296",2,7,54,8e+05,7,1,15,3,1104816.02500355
"297",1,7,25,180000,7,1,14,5,248583.605625799
"298",1,7,55,380000,7,1,11,3,524787.611876687
"299",2,7,27,310000,7,1,16,3,428116.209688876
"300",1,7,68,3e+05,7,1,6,2,414306.009376332
"301",2,7,69,331682.693154403,7,1,8,9,458060.44326665
"302",2,7,34,410000,7,1,15,4,566218.21281432
