"","sexo","region","edad","yoprcor","s31a1","zona","e6a","o15","yoprcoripc"
"154",1,7,27,3e+05,7,1,9,4,394467.739753821
"155",1,7,61,4e+05,7,1,11,1,525956.986338428
"156",1,7,30,3e+05,7,1,11,1,394467.739753821
"157",1,7,76,4e+05,2,1,10,2,525956.986338428
"158",1,7,50,3e+05,7,1,7,5,394467.739753821
"159",2,7,50,212000,7,1,7,5,278757.202759367
"160",1,7,75,290000,7,1,6,2,381318.81509536
"161",1,7,23,220000,7,1,11,5,289276.342486135
"162",1,7,53,320000,2,1,7,3,420765.589070742
"163",2,7,47,3500000,7,1,9,1,4602123.63046125
"164",1,7,48,5e+06,7,1,9,1,6574462.32923035
"165",2,7,50,381237.006102589,7,1,9,5,501285.667026007
"166",1,7,24,280000,7,1,9,5,368169.8904369
"167",2,7,24,381237.006102589,7,1,13,3,501285.667026007
"168",2,7,42,270000,7,1,7,5,355020.965778439
"169",1,7,49,1e+06,7,1,11,5,1314892.46584607
"170",2,7,35,125000,7,1,7,5,164361.558230759
"171",1,7,27,250000,7,1,9,5,328723.116461518
"172",1,7,55,270000,7,1,11,5,355020.965778439
"173",2,7,54,60000,7,1,9,2,78893.5479507642
"174",1,7,21,60000,7,1,11,2,78893.5479507642
"175",1,7,43,60000,7,1,7,5,78893.5479507642
"176",2,7,40,130000,7,1,7,5,170936.020559989
"177",1,7,21,243575,7,1,12,5,320274.932368457
"178",2,7,41,3e+05,7,1,9,1,394467.739753821
"179",1,7,37,280000,7,1,12,5,368169.8904369
"180",1,7,37,6e+05,1,1,11,5,788935.479507642
"181",2,7,34,4e+05,7,1,11,5,525956.986338428
"182",2,7,63,120000,7,1,9,2,157787.095901528
"183",1,7,31,220000,7,1,13,5,289276.342486135
"184",1,7,58,3e+05,2,1,9,1,394467.739753821
"185",1,7,48,478311,7,1,11,5,628927.5302313
"186",1,7,49,6e+05,7,1,11,1,788935.479507642
"187",2,7,24,3e+05,7,1,13,3,394467.739753821
"188",1,7,20,3e+05,7,1,11,5,394467.739753821
"189",2,7,47,3e+05,7,1,9,2,394467.739753821
"190",1,7,47,650000,7,1,11,5,854680.102799946
"191",1,7,59,250000,7,1,7,5,328723.116461518
"192",2,7,35,250000,7,1,9,5,328723.116461518
"193",1,7,32,380825,7,1,9,5,500743.92330583
"194",1,7,64,654603,7,1,9,4,860732.552820235
"195",1,7,78,120000,1,1,6,2,157787.095901528
"196",2,7,43,350000,7,1,11,5,460212.363046125
"197",1,7,19,320000,7,1,12,5,420765.589070742
